epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2195.69,0.49012,1.08,1.19068,0.4685,0.50443,0.47755,0.42118,1.54038,3.62476,1.78453,0.000552995,0.000552995,0.000552995
2,4042.36,0.43062,0.68957,1.13102,0.94724,0.8946,0.98564,0.83519,0.6302,0.5571,1.23754,0.00109769,0.00109769,0.00109769
3,5819.92,0.42394,0.61313,1.13318,0.70487,0.81918,0.77556,0.52671,1.07796,1.01494,1.60093,0.00163137,0.00163137,0.00163137
4,7597.59,0.40801,0.56664,1.11382,0.92372,0.92835,0.97331,0.78677,0.68093,0.55628,1.26498,0.00161749,0.00161749,0.00161749
5,9373.97,0.3687,0.54699,1.09351,0.85951,0.92093,0.97634,0.81714,0.65105,0.77839,1.11523,0.00160099,0.00160099,0.00160099
6,11151.7,0.35615,0.52597,1.08769,0.95119,0.94742,0.98777,0.82807,0.57151,0.49958,1.08592,0.00158448,0.00158448,0.00158448
7,12931.1,0.33768,0.47501,1.07241,0.97816,0.97656,0.99383,0.86842,0.51872,0.37417,1.0161,0.00156798,0.00156798,0.00156798
8,14709.2,0.32179,0.44041,1.07194,0.97372,0.96157,0.99379,0.86151,0.63287,0.50648,1.17181,0.00155148,0.00155148,0.00155148
9,16486.6,0.31349,0.41461,1.05709,0.97276,0.99371,0.995,0.87865,0.52061,0.37128,1.06185,0.00153497,0.00153497,0.00153497
10,18280.6,0.30198,0.43622,1.06222,0.99374,0.99284,0.995,0.84713,0.58941,0.4151,1.08177,0.00151847,0.00151847,0.00151847
11,20070.2,0.30036,0.39834,1.05766,0.99562,1,0.995,0.8817,0.5477,0.37469,1.0422,0.00150197,0.00150197,0.00150197
12,21848.5,0.2836,0.39213,1.03815,0.97774,0.97374,0.9889,0.86971,0.50631,0.37146,0.98068,0.00148546,0.00148546,0.00148546
13,23625.6,0.28711,0.36002,1.03889,0.9938,0.99219,0.99328,0.88374,0.4701,0.38641,0.96107,0.00146896,0.00146896,0.00146896
14,25405.1,0.28436,0.37885,1.0374,0.99126,1,0.99492,0.85864,0.5704,0.37523,1.05545,0.00145246,0.00145246,0.00145246
15,27305.5,0.26747,0.33703,1.03446,0.98447,0.99857,0.99474,0.8775,0.50653,0.36389,0.98613,0.00143595,0.00143595,0.00143595
16,29222.6,0.2702,0.34435,1.03248,0.99456,0.98438,0.99477,0.8826,0.49049,0.28046,0.96265,0.00141945,0.00141945,0.00141945
17,31096.4,0.26224,0.32497,1.03213,0.99858,1,0.995,0.88622,0.4729,0.2714,0.88021,0.00140295,0.00140295,0.00140295
18,32874.8,0.2713,0.32443,1.04182,0.98559,0.99463,0.995,0.90722,0.44744,0.28807,0.86228,0.00138644,0.00138644,0.00138644
19,34652,0.25305,0.31773,1.02072,0.99429,0.98931,0.995,0.90898,0.43631,0.29489,0.88082,0.00136994,0.00136994,0.00136994
20,36429.5,0.25793,0.3144,1.03623,0.98566,0.98289,0.995,0.87621,0.5996,0.38062,1.10941,0.00135344,0.00135344,0.00135344
21,38205.6,0.25025,0.31272,1.03158,0.99838,1,0.995,0.86195,0.52687,0.34796,1.01095,0.00133693,0.00133693,0.00133693
22,39982.2,0.25357,0.30242,1.02431,0.96355,0.97373,0.995,0.89008,0.47455,0.30762,0.92692,0.00132043,0.00132043,0.00132043
